g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,lunch,dutch,butch,hutch,,nnnnn,ngngg,ngggg,ngggg,ggggg,
soare,blood,ought,pinto,,,nynnn,nnynn,ynnny,ggggg,,
soare,natal,daily,gaily,,,nnynn,ngnny,ngggg,ggggg,,
soare,deter,greet,egret,,,nnnyy,nyygy,yyygg,ggggg,,
soare,natal,lilac,,,,nnynn,nnngy,ggggg,,,
soare,sneer,sever,,,,gnnyy,gnygg,ggggg,,,
soare,betel,yield,field,,,nnnny,nynny,ngggg,ggggg,,
soare,lunch,bluff,fluff,,,nnnnn,yynnn,ngggg,ggggg,,
soare,chord,hydro,,,,nyngn,nyygy,ggggg,,,
soare,clank,black,flack,,,nngnn,yggng,ngggg,ggggg,,
soare,plate,agape,,,,nngng,yngng,ggggg,,,
soare,betel,feign,wench,,,nnnny,ngnnn,ngnny,ggggg,,
soare,vogue,voice,,,,ngnng,ggnng,ggggg,,,
soare,stead,,,,,gnyny,ggggg,,,,
soare,slant,stalk,,,,gngnn,gygny,ggggg,,,
soare,deter,rebut,berth,,,nnnyy,ngyny,ygyny,ggggg,,
soare,natal,madam,,,,nnynn,ngngn,ggggg,,,
soare,lunch,night,,,,nnnnn,nnyny,ggggg,,,
soare,clank,bland,,,,nngnn,ngggn,ggggg,,,
soare,deter,filer,liver,,,nnnyy,nnngg,ngygg,ggggg,,
soare,guile,wedge,,,,nnnng,ynnng,ggggg,,,
soare,radar,augur,,,,nnyyn,nynng,ggggg,,,
soare,north,color,roomy,,,ngnyn,ngynn,ngnyy,ggggg,,
soare,natal,bawdy,wacky,,,nnynn,ngnnn,ngyng,ggggg,,
soare,blood,cloth,flock,,,nynnn,nggnn,yggnn,ggggg,,
soare,harry,angry,,,,nnygn,nyngg,ggggg,,,
soare,donut,folio,bobby,,,ngnnn,ngnnn,ngnnn,ggggg,,
soare,tripe,trite,,,,nnnyg,gggng,ggggg,,,
soare,natal,aphid,,,,nnynn,nynnn,ggggg,,,
soare,crust,tryst,,,,ynnyn,ngngg,ggggg,,,
soare,guile,hinge,midge,,,nnnng,ynyng,ngngg,ggggg,,
soare,rower,power,,,,ngnyy,ngggg,ggggg,,,
soare,clone,globe,elope,,,nynng,nggng,nggng,ggggg,,
soare,lunch,cinch,,,,nnnnn,nnggg,ggggg,,,
soare,donut,tooth,motto,,,ngnnn,ngnny,ygygn,ggggg,,
soare,stoop,stomp,,,,gynnn,gggng,ggggg,,,
soare,guest,upset,,,,ynnny,nyyyg,ggggg,,,
soare,lunch,bluff,,,,nnnnn,yynnn,ggggg,,,
soare,drawn,craft,crazy,cramp,,nngyn,nggnn,gggnn,gggnn,ggggg,
soare,award,quart,,,,nnggn,nnggn,ggggg,,,
soare,donut,folio,lowly,coyly,,ngnnn,ngnnn,ngynn,ngngg,ggggg,
soare,donut,youth,,,,ngnnn,ngnyy,ggggg,,,
