g1,g2,g3,g4,g5,g6,r1,r2,r3,r4,r5,r6
soare,denet,bench,wench,,,nnnny,nggnn,ngggg,ggggg,,
soare,pugil,voice,,,,ngnng,nnnyn,ggggg,,,
soare,dempt,stead,,,,gnyny,yynny,ggggg,,,
soare,thilk,stalk,,,,gngnn,ynngg,ggggg,,,
soare,deter,abrim,berth,,,nnnyy,ngyny,nygnn,ggggg,,
soare,clint,midgy,madam,,,nnynn,nnnnn,gngnn,ggggg,,
soare,clint,input,night,,,nnnnn,nnyyg,yynng,ggggg,,
soare,plink,bland,,,,nngnn,ngngn,ggggg,,,
soare,deter,pilch,liver,,,nnnyy,nnngg,ngynn,ggggg,,
soare,culti,adhan,wedge,,,nnnng,nnnnn,nynnn,ggggg,,
soare,radar,augur,,,,nnyyn,nynng,ggggg,,,
soare,cyton,roomy,,,,ngnyn,nynyn,ggggg,,,
soare,clint,wacky,,,,nnynn,ynnnn,ggggg,,,
soare,clint,flock,,,,nynnn,ygnnn,ggggg,,,
soare,humic,parry,angry,,,nnygn,nnnnn,nyngg,ggggg,,
soare,culty,goody,bobby,,,ngnnn,nnnng,ngnng,ggggg,,
soare,pudic,tribe,trite,,,nnnyg,nnnyn,gggng,ggggg,,
soare,clint,maxim,aphid,,,nnynn,nnynn,nyngn,ggggg,,
soare,crust,tryst,,,,ynnyn,ngngg,ggggg,,,
